 public | okp_plodatappa_id_seq         | последовательность |               |                    | 
 public | okp_pot                       | таблица            |               |                    | 
 public | okp_pot_rwc_seq               | последовательность |               |                    | 
 public | okp_potudse                   | таблица            |               |                    | 
 public | okp_potudse_id_seq            | последовательность |               |                    | 
 public | okp_ppp                       | таблица            |               |                    | 
 public | okp_ppp_rwc_seq               | последовательность |               |                    | 
 public | okp_pppdep                    | таблица            |               |                    | 
 public | okp_pppdep_id_seq             | последовательность |               |                    | 
 public | okp_ppr                       | таблица            |               |                    | 
 public | okp_ppr_id_seq                | последовательность |               |                    | 
 public | okp_prf                       | таблица            |               |                    | 
 public | okp_prf_dep                   | таблица            |               |                    | 
 public | okp_prf_dep_id_seq            | последовательность |               |                    | 
 public | okp_prf_id_seq                | последовательность |               |                    | 
 public | okp_prz                       | таблица            |               |                    | 
 public | okp_prz_id_seq                | последовательность |               |                    | 
 public | okp_przdata                   | таблица            |               |                    | 
 public | okp_przdata_id_seq            | последовательность |               |                    | 
 public | okp_pur                       | таблица            |               |                    | 
 public | okp_pur_id_seq                | последовательность |               |                    | 
 public | okp_ram                       | таблица            |               |                    | 
 public | okp_ram_rwc_seq               | последовательность |               |                    | 
 public | okp_ras                       | таблица            |               |                    | 
 public | okp_ras_id_seq                | последовательность |               |                    | 
 public | okp_reject                    | таблица            |               |                    | 
 public | okp_reject_id_seq             | последовательность |               |                    | 
 public | okp_reportparameters          | таблица            |               |                    | 
 public | okp_reports                   | таблица            |               |                    | 
 public | okp_reports_id_seq            | последовательность |               |                    | 
 public | okp_reportsblanks             | таблица            |               |                    | 
 public | okp_reportsblanksnames        | таблица            |               |                    | 
 public | okp_reportsscripts            | таблица            |               |                    | 
 public | okp_req                       | таблица            |               |                    | 
 public | okp_req_id_seq                | последовательность |               |                    | 
 public | okp_reqdata                   | таблица            |               |                    | 
 public | okp_reqdata_id_seq            | последовательность |               |                    | 
 public | okp_res                       | таблица            |               |                    | 
 public | okp_res_id_seq                | последовательность |               |                    | 
 public | okp_rootpasp                  | таблица            |               |                    | 
 public | okp_rootpasp_id_seq           | последовательность |               |                    | 
 public | okp_routes                    | таблица            |               |                    | 
 public | okp_routes_id_seq             | последовательность |               |                    | 
 public | okp_rparm                     | таблица            |               |                    | 
